issn,journal,subject,ft2016,cnrs2020,den2021,hceres2021,meta2023,ajg_abs2024,ejl2024,scopus2024,vhb2024,abdc2025,fnege2025
0070-3370,Demography,Economics,,1,2,A,,,EP,5.9,,A,
0081-1750,Sociological Methodology,Sociology,,,2,,,3,,4.5,,A,
0090-0036,American Journal of Public Health,Economics,,,2,,,,EP*,9.5,,A*,
0090-2616,Organizational Dynamics,"OS/OB,HRM/IR",,2,1,A,B,3,S,4.6,B,A,2
0090-4848,Human Resource Management,"OS/OB,HRM/IR",1,2,2,A,A,4,P,11.5,A,A*,1
0090-5364,Annals of Statistics,"OR,MS,POM",,,2,,A,4*,EP*,9.3,,A*,
0091-1798,Annals of Probability,"OR,MS,POM",,,2,,,,EP,4.6,,A*,
0091-3367,Journal of Advertising,Marketing,,3,1,A,B,3,P,11.2,B,A,2
0092-0703,Journal of the Academy of Marketing Science,Marketing,1,1,2,A,A,4*,P*,30.0,A,A*,1
0092-2102,"INFORMS Journal on Applied Analytics (formerly Interfaces)OR,MS,POM",,,,1,,,2,,N/A,B,B,3
0092-5853,American Journal of Political Science,Sociology,,,2,,,4*,EP*,9.3,,A*,
0093-5301,Journal of Consumer Research,Marketing,1,1,2,A,A+,4*,P*,12.0,A+,A*,1*
0093-6502,Communication Research,Comm,,,2,,,,S,17.1,,A,
0094-1190,Journal of Urban Economics,Economics,,1,2,A,,3,EP,10.6,,A*,
0095-0696,Journal of Environmental Economics and Management,Economics,,1,2,A,A,3,EP,8.0,B,A*,1
0095-2583,Economic Inquiry,Economics,,2,1,A,,3,,3.8,,A,
0095-3997,Administration and Society,PSM,,2,2,A,B,2,S,4.5,B,B,3
0095-4918,Journal of Portfolio Management,F&A,,3,1,B,B,3,S,2.2,B,A,3
0096-3445,Journal of Experimental Psychology: General,Psychology,,,2,,,4,EP,6.2,,A*,
0097-5397,SIAM Journal on Computing,"MIS, KM",,,2,,,,,4.6,A,,
0098-3500,ACM Transactions on Mathematical Software,"MIS, KM",,,2,,,,EP,5.0,,,
0098-5589,IEEE Transactions on Software Engineering,"MIS, KM",,,2,A,,,EP*,9.7,B,,3
0138-9130,Scientometrics,Innovation,,,2,,B,2,,7.2,,A,3
0140-2382,West European Politics,Sociology,,,2,,,3,EP,10.0,,B,
0140-9883,Energy Economics,Economics,,2,2,A,A,3,EP*,18.6,B,A*,2
0141-1926,British Educational Research Journal,Education,,,2,,,2,,4.7,,,4
0142-5455,Employee Relations,"OS/OB,HRM/IR",,4,1,B,,2,,6.5,B,A,3
0143-2095,Strategic Management Journal,Gen & Strat,1,1*,2,A,A+,4*,P*,13.7,A+,A*,1*
0143-5671,Fiscal Studies,F&A,,3,1,B,,2,,13.5,C,B,
0143-6570,Managerial and Decision Economics,Economics,,3,1,B,,2,,3.2,B,B,3
0143-6597,Third World Quarterly,Sociology,,3,1,B,,2,,4.1,,A,
0143-7720,International Journal of Manpower,"OS/OB,HRM/IR",,3,1,B,,2,,8.4,C,A,3
0143-7739,Leadership and Organization Development Journal,Gen & Strat,,4,1,C,,1,,7.7,C,B,4
0143-831X,Economic and Industrial Democracy,Economics,,3,1,B,,3,,4.1,B,A,3
0144-1647,Transport Reviews,"OR,MS,POM",,3,2,B,B,2,S,17.7,C,A,3
0144-3577,"International Journal of Operations and Production Manag OR,MS,POM",,,2,2,A,A,4,P,13.3,B,A,1
0144-5596,Social Policy and Administration,PSM,,,2,,B,2,EP,6.5,,A,
0144-6665,British Journal of Social Psychology,Psychology,,,1,,,3,EP,9.5,,A,
0144-8188,International Review of Law and Economics,Economics,,1,2,A,B,2,,2.6,B,B,
0144-929X,Behaviour and Information Technology,"MIS, KM",,,2,,B,2,,7.7,,A,3
0146-1672,Personality and Social Psychology Bulletin,Psychology,,,1,,,4,EP,9.2,A,A*,
0147-1767,International Journal of Intercultural Relations,"OS/OB,HRM/IR",,,1,,,1,,4.3,,B,4
0147-5967,Journal of Comparative Economics,Economics,,1,1,A,,3,,4.4,,A,
0148-2963,Journal of Business Research,Marketing,,2,2,A,B,3,S,20.3,B,A,2
0148-4184,Accounting Historians Journal,F&A,,3,1,B,,2,,0.5,B,B,4
0148-558X,"Journal of Accounting, Auditing and Finance",F&A,,3,1,B,B,3,,4.2,B,A,3
0149-0400,Leisure Sciences,Tourism,,,1,,,2,EP,5.8,,A,
0149-2063,Journal of Management,Gen & Strat,1,1,2,A,A+,4*,P*,22.4,A,A*,1
0155-9982,Accounting Forum,F&A,,4,1,C,,3,,5.2,B,A,3
0160-0176,International Regional Science Review,Economics,,2,1,A,,,,4.5,,B,
0160-3477,Journal of Post Keynesian Economics,Economics,,2,1,A,,2,,1.7,,B,
0160-5682,Journal of the Operational Research Society,"OR,MS,POM",,2,2,A,B,3,S,6.8,B,A,2
0160-7383,Annals of Tourism Research,Tourism,,3,2,A,,4,S,19.1,C,A*,2
0160-8061,Journal of Organizational Behavior Management,"OS/OB,HRM/IR",,3,1,B,,2,,2.7,B,B,3
0161-8938,Journal of Policy Modeling,PSM,,4,1,C,,2,,6.2,,A,
0162-1459,Journal of the American Statistical Association,Economics [Range highest to,,,2,,,4,EP*,7.5,,A*,
0162-2439,Science Technology and Human Values,Innovation,,,2,,B,2,EP,7.7,,A,3
0163-4437,"Media, Culture and Society",Comm,,,2,,,,EP,6.4,,B,
0164-0704,Journal of Macroeconomics,Economics,,2,1,A,,2,,2.5,,A,
0165-1587,European Review of Agricultural Economics,Economics,,2,1,A,,3,EP,6.6,,A,
0165-1765,Economics Letters,Economics,,3,1,B,B,3,,3.2,B,A,
0165-1889,Journal of Economic Dynamics and Control,Economics,,1,2,A,B,3,,3.1,A,A*,2
0165-4101,Journal of Accounting and Economics,F&A,1,1*,2,A,A+,4*,P*,8.7,A+,A*,1*
0165-4896,Mathematical Social Sciences,Economics,,2,1,A,,2,,1.3,,A,
0165-5515,Journal of Information Science,"MIS, KM",,,2,,,2,,6.8,,,4
0166-0462,Regional Science and Urban Economics,Economics,,2,1,A,,3,,5.3,,A,3
0166-4972,Technovation,Innovation,,2,2,A,B,3,S,15.1,B,A,2
0167-2681,Journal of Economic Behavior and Organization,Economics,,2,2,A,B,3,S,3.8,A,A*,2
0167-4544,Journal of Business Ethics,"OS/OB,HRM/IR",1,2,2,A,A,3,P,12.8,A,A,1
0167-4870,Journal of Economic Psychology,Economics,,2,1,A,B,2,S,5.2,B,A,3
0167-6245,Information Economics and Policy,Economics,,2,1,A,,2,,5.0,,A,
0167-6296,Journal of Health Economics,Economics,,1,2,A,A,3,EP,6.1,A+,A*,
